,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
で,0,30,45,7,3,10,17,19,1,9,3,13,16,3,2,8,10,13,1,21,8,0,0,2,3,4,0,0,0,0,6,3,2,7,1,6,4,4,6,15,16,7,6,2,0,1,5,3,3,0,1,2,1,0,0,3,0,0,2,9,5,0,7,1,0,7,0,1,0,2
ど,4,80,143,4,2,11,32,64,8,14,7,26,8,0,1,13,17,35,5,12,1,1,0,1,6,4,4,4,1,0,17,10,6,5,5,12,4,13,6,31,12,6,9,7,0,8,11,15,1,6,5,9,4,0,1,2,0,0,1,7,2,2,1,1,5,2,0,4,2,2
ば,6,65,81,3,2,13,25,61,5,3,2,17,16,1,0,15,20,24,5,21,5,3,0,2,5,2,0,4,0,0,3,9,6,3,0,11,5,11,14,21,23,2,5,1,0,1,6,12,0,1,2,7,1,0,0,2,0,0,5,17,10,2,3,0,0,1,0,3,0,0
び,3,28,75,2,3,5,19,32,3,4,2,11,13,0,2,6,5,17,2,16,2,3,0,1,1,0,0,3,0,1,3,6,3,5,0,10,4,7,9,15,14,7,5,5,0,5,3,6,0,2,2,4,2,0,0,1,0,1,0,5,1,10,6,0,0,0,0,2,0,0
ぶ,7,69,93,0,1,14,15,48,17,8,1,17,6,0,1,6,5,35,1,17,2,1,0,0,2,0,2,1,0,0,6,2,2,1,1,5,6,9,6,24,7,0,4,0,0,2,5,13,2,3,6,11,3,0,0,2,0,0,2,15,1,2,8,0,2,1,0,2,0,2
べ,5,27,35,1,0,3,8,12,3,4,0,12,3,1,1,7,6,14,4,30,4,1,0,2,2,0,0,0,0,0,2,1,5,3,0,5,3,5,7,14,8,2,1,0,0,1,3,2,0,3,2,2,2,1,0,4,0,0,1,3,0,1,0,1,1,1,1,2,0,0
ぼ,2,60,85,0,1,5,22,35,6,1,4,15,8,0,2,5,16,24,5,13,0,2,0,0,4,0,2,4,1,0,5,5,3,1,0,9,7,8,11,16,17,4,7,0,0,5,1,19,1,6,0,5,2,1,0,4,0,0,4,7,2,3,0,1,5,0,0,2,0,0
ぱ,3,8,4,0,2,7,4,20,1,5,1,2,20,0,0,9,6,5,8,32,5,1,1,2,0,0,0,6,0,0,4,2,5,0,0,6,1,1,7,6,24,2,3,1,0,0,1,3,1,1,0,7,1,0,0,5,0,0,3,4,0,0,2,0,0,10,0,5,0,1
ぴ,3,9,2,0,0,2,2,8,3,4,0,2,5,0,0,1,5,3,1,14,1,1,0,1,3,0,0,1,0,0,1,1,1,0,1,2,1,3,1,2,8,1,5,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,7,2,0,0
ぷ,4,11,6,0,0,2,1,5,0,2,6,2,19,0,1,10,3,3,2,24,3,2,0,0,0,1,0,3,0,1,5,2,16,0,1,6,3,5,8,3,19,2,3,0,0,0,1,10,0,0,2,1,1,0,0,2,0,0,0,8,3,1,1,0,0,0,0,8,0,0
ぺ,3,6,0,1,0,2,1,2,2,5,2,3,6,0,1,2,4,0,2,12,3,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,2,6,1,2,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,4,0
ぽ,2,2,0,1,2,2,2,3,0,3,0,3,5,0,0,5,5,3,3,15,1,0,0,1,2,0,0,0,0,0,1,0,4,1,0,3,3,4,5,4,7,0,2,0,0,0,0,3,0,1,0,3,3,0,0,0,0,0,1,3,1,0,1,0,0,0,0,6,0,4
