,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゔ,が,ぎ,ぐ,げ,ご,ざ,じ,ず,ぜ,ぞ,だ,ぢ,づ,で,ど,ば,び,ぶ,べ,ぼ,ぱ,ぴ,ぷ,ぺ,ぽ
す,0.18604651162790697,3.2758620689655173,4.1,0.2727272727272727,0.3125,1.1785714285714286,3.5625,2.4782608695652173,3.5,0.6666666666666666,0.3448275862068966,1.3448275862068966,1.0,0.2,0.6666666666666666,2.1818181818181817,4.769230769230769,4.6,0.631578947368421,2.9444444444444446,0.9333333333333333,0.041666666666666664,,4.5,2.6666666666666665,0.08695652173913043,0.125,0.32,2.0,0.11764705882352941,0.6521739130434783,1.0833333333333333,6.333333333333333,0.9,0.6666666666666666,2.0,1.2,2.0,1.25,4.75,9.833333333333334,0.6666666666666666,1.5,0.42857142857142855,,0.5,1.6666666666666667,3.0,0.5,0.6,0.4,4.857142857142857,16.0,5.0,,0.9,,,0.5,1.75,0.4375,0.8461538461538461,1.5,1.0,0.125,0.85,0.2,1.105263157894737,0.16666666666666666,0.2
せ,0.11764705882352941,50.8,29.083333333333332,0.75,0.2,5.0,92.0,9.705882352941176,inf,7.5,1.7142857142857142,3.4285714285714284,5.0,1.0,inf,7.0,28.5,16.714285714285715,3.25,2.4,1.8,0.8,,1.0,6.0,0.36363636363636365,1.0,1.6666666666666667,inf,inf,1.5714285714285714,1.7142857142857142,13.0,2.0,0.6,4.166666666666667,12.0,4.571428571428571,6.5,27.5,inf,inf,8.0,4.5,,3.5,inf,inf,8.0,2.3333333333333335,3.0,12.0,inf,0.5,inf,3.0,,,1.0,inf,2.0,inf,inf,0.0,inf,inf,inf,inf,,inf
そ,0.3333333333333333,14.777777777777779,52.0,0.5714285714285714,0.25,0.6363636363636364,4.875,78.0,2.6,0.625,0.3333333333333333,1.1818181818181819,1.5,0.0,1.0,2.0,3.4285714285714284,18.333333333333332,1.75,5.333333333333333,inf,1.1111111111111112,0.0,inf,6.0,0.5714285714285714,0.0,2.3333333333333335,0.42857142857142855,0.6,2.5,1.1111111111111112,inf,9.0,1.0,4.5,inf,3.4,inf,inf,8.0,inf,4.5,inf,,2.25,inf,6.0,1.0,1.4,0.5,2.5,inf,inf,,3.5,,,5.0,2.0,inf,2.0,5.0,0.0,2.5,,inf,3.0,0.0,inf
た,0.019230769230769232,4.717948717948718,9.92,1.7857142857142858,0.35294117647058826,0.9591836734693877,4.695652173913044,3.75,4.0,0.9444444444444444,0.6956521739130435,1.608695652173913,0.4583333333333333,0.14285714285714285,0.5,1.0,4.37037037037037,5.357142857142857,1.1538461538461537,1.5357142857142858,0.8947368421052632,0.631578947368421,0.0,1.1666666666666667,5.833333333333333,0.17073170731707318,0.38461538461538464,0.23076923076923078,0.2,0.42857142857142855,1.0909090909090908,1.7307692307692308,1.0,0.6666666666666666,0.15384615384615385,2.0714285714285716,0.5,4.5,3.4285714285714284,14.833333333333334,24.0,1.25,1.5,0.7222222222222222,,1.1666666666666667,6.0,inf,1.0,1.6,1.1666666666666667,3.6923076923076925,2.3333333333333335,1.0,1.0,7.5,,,0.5,0.46153846153846156,0.5333333333333333,3.3333333333333335,1.5,0.2857142857142857,1.8,0.2222222222222222,1.0,0.7,0.0,1.0
ち,0.017543859649122806,1.293103448275862,6.5,0.2727272727272727,0.07692307692307693,0.1895424836601307,0.9473684210526315,2.1739130434782608,1.9,0.3448275862068966,0.13821138211382114,0.8518518518518519,0.20967741935483872,0.03508771929824561,0.2916666666666667,0.2288135593220339,1.0,2.78125,0.14285714285714285,0.43636363636363634,0.11235955056179775,0.08571428571428572,0.2,1.3846153846153846,0.1724137931034483,0.08333333333333333,0.013888888888888888,0.03529411764705882,0.18181818181818182,0.1875,0.2840909090909091,0.2014388489208633,0.2727272727272727,1.6666666666666667,0.04,0.3786407766990291,1.0,0.7058823529411765,2.0,2.6666666666666665,11.5,2.1666666666666665,1.0555555555555556,0.34146341463414637,,0.23076923076923078,2.0,1.1666666666666667,2.0,0.3,0.5,0.5283018867924528,5.0,0.25,0.0,0.7142857142857143,1.0,0.5,0.1,0.29411764705882354,0.8,1.8,3.2,0.3333333333333333,0.6875,0.16666666666666666,0.4,2.6666666666666665,0.0,0.4
つ,0.02127659574468085,0.5416666666666666,1.9259259259259258,0.8,0.03571428571428571,0.10638297872340426,0.3504273504273504,0.6764705882352942,0.21875,0.07575757575757576,0.06329113924050633,0.20909090909090908,0.21739130434782608,0.05982905982905983,0.05454545454545454,0.18666666666666668,0.3595505617977528,1.0,0.5434782608695652,0.24242424242424243,0.2,0.21951219512195122,0.0,0.8888888888888888,1.3571428571428572,0.012195121951219513,0.01694915254237288,0.015384615384615385,0.0,0.023255813953488372,0.5714285714285714,0.9473684210526315,0.2,0.72,0.16666666666666666,0.6153846153846154,0.07407407407407407,0.21621621621621623,0.7894736842105263,1.5555555555555556,5.333333333333333,0.3793103448275862,0.6818181818181818,0.7,,0.10344827586206896,1.0,0.42857142857142855,0.35,0.08823529411764706,0.1,0.2072072072072072,0.8333333333333334,0.0625,0.0,0.06666666666666667,,1.0,0.3076923076923077,0.17142857142857143,0.3333333333333333,0.29411764705882354,0.11428571428571428,0.14285714285714285,0.4166666666666667,0.0,0.0,0.3333333333333333,,0.0
て,0.07317073170731707,6.416666666666667,5.888888888888889,1.6666666666666667,0.13043478260869565,0.5333333333333333,3.5,10.375,10.0,0.6086956521739131,0.5,1.9473684210526316,1.5833333333333333,0.3076923076923077,0.5714285714285714,0.8666666666666667,7.0,1.84,1.0,2.0625,0.2608695652173913,0.875,0.0,inf,1.0,0.2,0.08695652173913043,0.16666666666666666,0.0,0.0,1.2941176470588236,1.1666666666666667,1.6666666666666667,2.0,0.0,2.7777777777777777,2.0,2.0,23.0,7.857142857142857,19.0,9.0,4.333333333333333,0.5454545454545454,,6.0,1.2,2.0,2.5,0.6666666666666666,2.0,2.0,inf,0.5,inf,0.8,,0.0,2.0,1.2,1.2,2.5,2.0,0.25,0.2,0.25,3.0,5.5,0.0,2.0
と,0.023529411764705882,2.5,8.434782608695652,0.5833333333333334,0.24528301886792453,0.5,1.5384615384615385,2.6774193548387095,2.3333333333333335,0.25842696629213485,0.34210526315789475,1.0724637681159421,0.33962264150943394,0.4166666666666667,0.1875,0.6511627906976745,2.2916666666666665,4.125,0.48484848484848486,1.0,0.42857142857142855,0.5882352941176471,0.0,0.9166666666666666,0.42857142857142855,0.2777777777777778,0.35294117647058826,0.16901408450704225,0.375,0.25,0.45098039215686275,0.5625,1.0,1.4545454545454546,0.2857142857142857,1.5789473684210527,2.2857142857142856,1.6,1.3333333333333333,2.5625,5.166666666666667,1.2307692307692308,0.9090909090909091,0.47368421052631576,,1.0,1.5,1.6,1.3,0.6428571428571429,1.0,1.2916666666666667,5.0,0.2,0.2,0.22727272727272727,,0.5,0.5238095238095238,1.0,0.5238095238095238,0.625,0.17647058823529413,0.06666666666666667,0.23076923076923078,0.15625,0.14285714285714285,0.20833333333333334,0.0,0.06666666666666667
な,0.06666666666666667,5.315789473684211,6.6,1.8888888888888888,0.2,1.9130434782608696,4.083333333333333,6.428571428571429,6.333333333333333,0.9615384615384616,0.5263157894736842,4.071428571428571,1.0714285714285714,0.5555555555555556,0.0,1.1176470588235294,8.9,5.0,3.8333333333333335,2.3333333333333335,1.0,1.8,0.0,1.3333333333333333,11.5,0.7,0.17647058823529413,0.16666666666666666,1.0,0.0,1.2142857142857142,2.2777777777777777,2.6666666666666665,5.0,1.8333333333333333,1.9,0.875,1.0,4.75,17.8,8.0,17.0,8.0,2.1666666666666665,,0.6666666666666666,inf,2.0,1.5,2.3333333333333335,0.0,6.428571428571429,inf,1.0,inf,1.6,,0.0,0.5,9.0,1.6,5.5,3.0,1.0,inf,0.6,0.0,1.0,0.0,0.0
に,0.2608695652173913,5.52,12.533333333333333,1.8,0.6428571428571429,1.2,12.142857142857142,5.0,5.0,0.7647058823529411,0.5,3.391304347826087,24.0,1.25,0.9,1.5833333333333333,11.666666666666666,4.555555555555555,1.1428571428571428,1.7,0.5555555555555556,1.0,1.0,4.0,9.0,0.2857142857142857,0.1111111111111111,0.4,0.0,0.42857142857142855,3.0,2.1818181818181817,1.6666666666666667,4.5,0.6666666666666666,2.888888888888889,1.5714285714285714,2.2857142857142856,9.5,60.0,inf,inf,5.666666666666667,0.7058823529411765,,2.0,12.0,1.0,11.0,2.25,0.0,4.166666666666667,6.0,0.5,0.0,1.8571428571428572,,0.0,inf,2.0,2.6666666666666665,4.666666666666667,9.0,2.0,1.0,1.0,1.0,3.0,0.0,inf
